Entity,Code,Day,total_boosters_per_hundred
Africa,,2021-10-28,0
Africa,,2021-10-29,0
Africa,,2021-10-30,0.01
Africa,,2021-10-31,0.01
Africa,,2021-11-01,0.01
Africa,,2021-11-02,0.01
Africa,,2021-11-03,0.01
Africa,,2021-11-04,0.01
Africa,,2021-11-05,0.01
Africa,,2021-11-06,0.01
Africa,,2021-11-07,0.01
Africa,,2021-11-08,0.01
Africa,,2021-11-09,0.02
Africa,,2021-11-10,0.02
Africa,,2021-11-11,0.02
Africa,,2021-11-12,0.02
Africa,,2021-11-13,0.02
Africa,,2021-11-14,0.02
Africa,,2021-11-15,0.02
Africa,,2021-11-16,0.02
Africa,,2021-11-17,0.02
Africa,,2021-11-18,0.02
Africa,,2021-11-19,0.02
Africa,,2021-11-20,0.02
Africa,,2021-11-21,0.02
Africa,,2021-11-22,0.02
Africa,,2021-11-23,0.03
Africa,,2021-11-24,0.03
Africa,,2021-11-25,0.03
Africa,,2021-11-26,0.03
Africa,,2021-11-27,0.03
Africa,,2021-11-28,0.03
Africa,,2021-11-29,0.03
Africa,,2021-11-30,0.03
Africa,,2021-12-01,0.03
Africa,,2021-12-02,0.03
Africa,,2021-12-03,0.03
Africa,,2021-12-04,0.03
Africa,,2021-12-05,0.04
Africa,,2021-12-06,0.04
Africa,,2021-12-07,0.04
Africa,,2021-12-08,0.04
Africa,,2021-12-09,0.04
Africa,,2021-12-10,0.04
Africa,,2021-12-11,0.04
Africa,,2021-12-12,0.04
Africa,,2021-12-13,0.05
Africa,,2021-12-14,0.05
Africa,,2021-12-15,0.05
Africa,,2021-12-16,0.05
Africa,,2021-12-17,0.05
Africa,,2021-12-18,0.05
Africa,,2021-12-19,0.05
Africa,,2021-12-20,0.05
Africa,,2021-12-21,0.05
Africa,,2021-12-22,0.05
Africa,,2021-12-23,0.06
Africa,,2021-12-24,0.06
Africa,,2021-12-25,0.06
Africa,,2021-12-26,0.06
Africa,,2021-12-27,0.06
Africa,,2021-12-28,0.06
Africa,,2021-12-29,0.06
Africa,,2021-12-30,0.06
Africa,,2021-12-31,0.06
Africa,,2022-01-01,0.07
Africa,,2022-01-02,0.07
Africa,,2022-01-03,0.07
Africa,,2022-01-04,0.07
Africa,,2022-01-05,0.07
Africa,,2022-01-06,0.07
Africa,,2022-01-07,0.07
Africa,,2022-01-08,0.07
Africa,,2022-01-09,0.07
Africa,,2022-01-10,0.08
Africa,,2022-01-11,0.08
Africa,,2022-01-12,0.08
Africa,,2022-01-13,0.08
Africa,,2022-01-14,0.08
Africa,,2022-01-15,0.08
Africa,,2022-01-16,0.08
Africa,,2022-01-17,0.11
Africa,,2022-01-18,0.11
Africa,,2022-01-19,0.12
Africa,,2022-01-20,0.12
Africa,,2022-01-21,0.18
Africa,,2022-01-22,0.18
Africa,,2022-01-23,0.18
Africa,,2022-01-24,0.18
Africa,,2022-01-25,0.18
Africa,,2022-01-26,0.19
Africa,,2022-01-27,0.19
Africa,,2022-01-28,0.19
Africa,,2022-01-29,0.19
Africa,,2022-01-30,0.19
Africa,,2022-01-31,0.2
Africa,,2022-02-01,0.2
Africa,,2022-02-02,0.2
Africa,,2022-02-03,0.2
Africa,,2022-02-04,0.2
Africa,,2022-02-05,0.2
Africa,,2022-02-06,0.21
Africa,,2022-02-07,0.21
Africa,,2022-02-08,0.21
Africa,,2022-02-09,0.21
Africa,,2022-02-10,0.21
Africa,,2022-02-11,0.22
Africa,,2022-02-12,0.22
Africa,,2022-02-13,0.22
Africa,,2022-02-14,0.22
Africa,,2022-02-15,0.22
Africa,,2022-02-16,0.23
Africa,,2022-02-17,0.8
Africa,,2022-02-18,0.81
Africa,,2022-02-19,0.81
Africa,,2022-02-20,0.81
Africa,,2022-02-21,0.81
Africa,,2022-02-22,0.81
Africa,,2022-02-23,0.82
Africa,,2022-02-24,0.95
Africa,,2022-02-25,0.96
Africa,,2022-02-26,0.96
Africa,,2022-02-27,0.96
Africa,,2022-02-28,0.96
Africa,,2022-03-01,0.97
Africa,,2022-03-02,0.97
Africa,,2022-03-03,0.97
Africa,,2022-03-04,1.02
Africa,,2022-03-05,1.02
Africa,,2022-03-06,1.02
Africa,,2022-03-07,1.03
Africa,,2022-03-08,1.03
Africa,,2022-03-09,1.03
Africa,,2022-03-10,1.07
Africa,,2022-03-11,1.09
Africa,,2022-03-12,1.09
Africa,,2022-03-13,1.09
Africa,,2022-03-14,1.1
Africa,,2022-03-15,1.1
Africa,,2022-03-16,1.11
Africa,,2022-03-17,1.14
Africa,,2022-03-18,1.14
Africa,,2022-03-19,1.15
Africa,,2022-03-20,1.18
Africa,,2022-03-21,1.18
Africa,,2022-03-22,1.18
Africa,,2022-03-23,1.19
Africa,,2022-03-24,1.22
Africa,,2022-03-25,1.23
Africa,,2022-03-26,1.23
Africa,,2022-03-27,1.33
Africa,,2022-03-28,1.34
Africa,,2022-03-29,1.36
Africa,,2022-03-30,1.36
Africa,,2022-03-31,1.39
Africa,,2022-04-01,1.4
Africa,,2022-04-02,1.4
Africa,,2022-04-03,1.41
Africa,,2022-04-04,1.41
Africa,,2022-04-05,1.41
Africa,,2022-04-06,1.42
Africa,,2022-04-07,1.43
Africa,,2022-04-08,1.43
Africa,,2022-04-09,1.43
Africa,,2022-04-10,1.44
Africa,,2022-04-11,1.44
Africa,,2022-04-12,1.46
Africa,,2022-04-13,1.46
Africa,,2022-04-14,1.46
Africa,,2022-04-15,1.47
Africa,,2022-04-16,1.47
Africa,,2022-04-17,1.47
Africa,,2022-04-18,1.47
Africa,,2022-04-19,1.47
Africa,,2022-04-20,1.47
Africa,,2022-04-21,1.47
Africa,,2022-04-22,1.47
Africa,,2022-04-23,1.49
Africa,,2022-04-24,1.5
Africa,,2022-04-25,1.5
Africa,,2022-04-26,1.57
Africa,,2022-04-27,1.58
Africa,,2022-04-28,1.58
Africa,,2022-04-29,1.58
Africa,,2022-04-30,1.59
Africa,,2022-05-01,1.63
Africa,,2022-05-02,1.64
Africa,,2022-05-03,1.64
Africa,,2022-05-04,1.64
Africa,,2022-05-05,1.64
Africa,,2022-05-06,1.65
Africa,,2022-05-07,1.65
Albania,ALB,2021-11-03,0.1
Albania,ALB,2021-11-06,0.29
Albania,ALB,2021-11-07,0.31
Albania,ALB,2021-11-09,0.52
Albania,ALB,2021-11-10,0.64
Albania,ALB,2021-11-11,0.75
Albania,ALB,2021-11-14,0.98
Albania,ALB,2021-11-16,1.21
Albania,ALB,2021-11-17,1.34
Albania,ALB,2021-11-18,1.45
Albania,ALB,2021-11-21,1.65
Albania,ALB,2021-11-24,2
Albania,ALB,2021-11-25,2.11
Albania,ALB,2021-11-28,2.28
Albania,ALB,2021-11-30,2.35
Albania,ALB,2021-12-01,2.45
Albania,ALB,2021-12-03,2.72
Albania,ALB,2021-12-05,2.86
Albania,ALB,2021-12-06,2.98
Albania,ALB,2021-12-07,3.11
Albania,ALB,2021-12-08,3.18
Albania,ALB,2021-12-12,3.52
Albania,ALB,2021-12-13,3.66
Albania,ALB,2021-12-14,3.81
